1 0 6230
2 6230 9836
3 16066 7731
4 23797 4323
5 28120 6670
6 34790 6216
7 41006 3165
8 44171 2537
9 46708 1567
10 48275 3977
11 52252 3188
12 55440 3822
13 59262 2927
14 62189 28707
15 90896 7197
16 98093 6206
17 104299 1749
18 106048 1781
19 107829 1500
20 109329 1199
21 110528 4825
22 115353 7754
23 123107 4366
24 127473 3393
25 130866 3709
26 134575 4811
27 139386 2217
28 141603 1829
29 143432 2439
30 145871 4122
31 149993 3040
32 153033 2968
33 156001 4147
34 160148 2706
35 162854 8298
36 171152 4825
37 175977 7754
38 183731 4366
39 188097 3393
40 191490 3709
41 195199 4811
42 200010 2217
43 202227 1829
44 204056 2439
45 206495 4122
46 210617 3040
47 213657 2968
48 216625 4147
49 220772 2706
50 223478 8298
